,id,songName,albumName,albumID,explicit,releaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumental,liveness,valence,tempo,duration_ms,time_signature
0,0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,3HHNR44YbP7XogMVwzbodx,True,3/6/22,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4
1,2meEiZKWkiN28gITzFwQo5,Into You,Dangerous Woman,3OZgEywV4krCZ814pTJWr7,False,20/5/16,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,244453,4
2,1OXfWI3FQMdsKKC6lkvzSx,Glad You Came,Glad You Came,2ZmXUoLcHfK4Y7WctcYk60,False,1/1/11,0.698,0.844,7,-4.549,0,0.067,0.0577,1.69e-05,0.105,0.446,126.937,198467,4
3,4pSPMXaCjbaV3VSzZQYC7H,Who Knew,Greatest Hits...So Far!!!,2tUn9E3nHXhUIJ47yv6ePD,False,12/11/10,0.689,0.737,9,-4.516,1,0.0268,0.00482,0.0,0.0777,0.47,140.0,207893,4
4,0yLdNVWF3Srea0uzk55zFn,Flowers,Flowers,7I0tjwFtxUwBC1vgyeMAax,False,13/1/23,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4
5,3rUGC1vUpkDG9CZFHMur1t,greedy,greedy,3UOV8XvCwMKaATRNXrYCjN,True,15/9/23,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,131872,1
6,6Knv6wdA0luoMUuuoYi2i1,My House,My House,5lkNnHVlnCCCV304t89wOH,False,7/4/15,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191,4
7,2AZXe8nq18mPITmPy5KJwQ,Hot N Cold,One Of The Boys,2IKALqf7an1mDR7eGupCGr,False,17/6/08,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227,4
8,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justice,5dGWwsZ9iB2Xc3UKR0gif2,True,19/3/21,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4
9,1K39ty6o1sHwwlZwO6a7wK,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,False,26/10/23,0.581,0.672,8,-7.415,1,0.0739,0.0411,9.35e-05,0.118,0.514,140.061,220433,4
10,4LRPiXqCikLlN15c3yImP7,As It Was,As It Was,2pqdSWeJVsXAhHFuVLzuA8,False,31/3/22,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
11,4E6cwWJWZw2zWf7VFbH7wf,Love Song,Little Voice,2Z9WUERfMjOgQ6ze9TcGbF,False,3/7/07,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,258827,4
12,3veFQzlEOTpcGGIbYPKdYq,Love You Like A Love Song,When the Sun Goes Down (Deluxe Edition),3acnMNG6Um5zdLJgUOAKz8,False,1/1/11,0.858,0.677,1,-3.842,0,0.0465,0.0752,0.0,0.0718,0.925,117.005,188067,4
13,06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,5Nwsra93UQYJ6xxcjcE10x,False,29/1/16,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,217707,4
